"T, K","Density, kg/m3",
273.16,999.793,
274,999.843,
276,999.914,
278,999.919,
280,999.862,
282,999.746,
284,999.575,
286,999.352,
288,999.079,
290,998.758,
292,998.392,
294,997.983,
296,997.532,
298,997.042,
300,996.513,
302,995.948,
304,995.346,
306,994.711,
308,994.042,
310,993.342,
312,992.61,
314,991.848,
316,991.056,
318,990.235,
320,989.387,
322,988.512,
324,987.61,
326,986.682,
328,985.728,
330,984.75,
332,983.747,
334,982.721,
336,981.671,
338,980.599,
340,979.503,
342,978.386,
344,977.247,
346,976.086,
348,974.904,
350,973.702,
352,972.479,
354,971.235,
356,969.972,
358,968.689,
360,967.386,
362,966.064,
364,"964,723",
366,963.363,
368,961.984,
370,960.587,
372,959.171,
374,957.737,
376,956.285,
378,954.815,
380,953.327,
382,951.822,
384,950.298,
386,948.758,
388,947.199,
390,945.624,
392,944.03,
394,942.42,
396,940.793,
398,939.148,
400,937.486,
402,935.807,
404,934.111,
406,932.398,
408,930.668,
410,928.921,
412,927.157,
414,925.375,
416,923.577,
418,921.761,
420,919.929,
422,918.079,
424,916.212,
426,914.328,
428,912.426,
430,910.507,
432,908.571,
434,906.617,
436,904.645,
438,902.656,
440,900.649,
442,898.624,
444,896.58,
446,894.519,
448,892.439,
450,890.341,
452,888.225,
454,886.089,
456,883.935,
458,881.761,
460,879.569,
462,877.357,
464,875.125,
466,872.873,
468,870.601,
470,868.31,
472,865.997,
474,863.664,
476,861.31,
478,858.934,
480,856.537,
482,854.118,
484,851.678,
486,849.214,
488,846.728,
490,844.219,
492,841.686,
494,839.13,
496,836.549,
498,833.944,
500,831.313,
502,828.658,
504,825.976,
506,823.269,
508,820.534,
510,817.772,
512,814.982,
514,812.164,
516,809.318,
518,806.441,
520,803.535,
522,800.597,
524,797.629,
526,794.628,
528,791.594,
530,788.527,
532,785.425,
534,782.288,
536,779.115,
538,775.905,
540,772.657,
542,769.369,
544,766.042,
546,762.674,
548,759.263,
550,755.808,
552,752.308,
554,748.762,
556,745.169,
558,741.525,
560,737.831,
562,734.084,
564,730.283,
566,726.425,
568,722.508,
570,718.53,
572,714.489,
574,710.382,
576,706.206,
578,701.959,
580,697.638,
582,693.238,
584,688.757,
586,684.19,
588,679.533,
590,674.781,
592,669.93,
594,664.974,
596,659.907,
598,654.722,
600,649.411,
602,643.97,
604,638.38,
606,632.64,
608,626.74,
610,620.65,
612,614.37,
614,607.88,
616,601.15,
618,594.16,
620,586.88,
622,579.26,
624,571.25,
626,562.81,
628,553.84,
630,544.25,
632,533.92,
634,522.71,
636,510.42,
638,496.82,
640,481.53,
641,473.01,
642,463.67,
643,453.14,
644,440.73,
645,425.05,
646,402.96,
647,357.34,
647.096,322,
